Designator,Mid X,Mid Y,Rotation,Layer
C10,47.5,-152.0,270.0,top
C11,66.5,-152.0,270.0,top
C12,75.5,-151.5,0.0,top
C13,85.5,-152.0,270.0,top
C14,94.0,-151.5,0.0,top
C15,104.5,-152.0,270.0,top
C16,114.0,-151.5,0.0,top
C17,123.5,-152.0,270.0,top
C18,132.5,-151.5,0.0,top
C19,56.0,-144.0,0.0,top
C20,74.5,-144.5,0.0,top
C21,94.0,-144.5,0.0,top
C22,113.0,-144.5,0.0,top
C23,132.0,-145.0,0.0,top
C24,118.0,-98.5,0.0,top
C25,118.618,-94.488,90.0,top
C26,121.92,-94.488,90.0,top
C27,108.5,-106.5,270.0,top
C28,79.5,-50.5,180.0,top
C29,79.5,-47.5,180.0,top
C30,69.5,-96.0,90.0,top
C5,105.41,-54.356,0.0,top
C6,97.028,-55.626,90.0,top
C7,101.5,-70.5,90.0,top
C8,90.0,-54.5,180.0,top
C9,56.5,-151.5,0.0,top
D1,113.792,-91.948,270.0,top
FB1,89.0,-84.0,180.0,top
J1,69.17,-84.582,0.0,top
J2,122.936,-69.29,90.0,top
J3,70.0,-40.5,180.0,top
J4,100.5,-42.5,180.0,top
J5,61.214,-60.198,0.0,top
J6,77.216,-84.064,0.0,top
J7,67.0,-59.0,0.0,top
L1,113.792,-97.5825,90.0,top
R1,113.0,-78.5,180.0,top
R10,51.5,-150.0,180.0,top
R11,70.5,-150.0,180.0,top
R12,88.5,-150.5,180.0,top
R13,109.0,-150.0,180.0,top
R14,128.0,-150.5,180.0,top
R15,96.1785,-135.7975,270.0,top
R16,92.8765,-135.8445,270.0,top
R17,89.5745,-135.8445,270.0,top
R18,86.2725,-135.8445,270.0,top
R19,82.9705,-135.7975,270.0,top
R2,103.378,-74.676,180.0,top
R20,105.41,-95.25,270.0,top
R21,112.0,-106.5,270.0,top
R22,115.5,-106.5,270.0,top
R23,120.0,-106.5,270.0,top
R24,124.5,-106.5,270.0,top
R26,97.0,-77.0,0.0,top
R27,84.5,-98.0,0.0,top
R28,88.9125,-123.5,180.0,top
R29,112.95,-54.5,270.0,top
R30,110.0,-54.5,270.0,top
R6,63.246,-43.5375,270.0,top
R7,76.708,-43.5375,90.0,top
R8,68.58,-48.1565,270.0,top
R9,71.374,-48.1565,90.0,top
SW1,85.5,-37.5,180.0,top
SW2,73.5,-96.0,90.0,top
SW3,79.5,-96.0,90.0,top
U1,88.9,-69.5,315.0,top
U2,101.092,-55.626,0.0,top
U3,52.29,-146.366,0.0,top
U4,71.086,-146.374,0.0,top
U5,90.0865,-146.5625,0.0,top
U6,109.186,-146.366,0.0,top
U7,127.982,-146.616,0.0,top
U8,89.5745,-129.533,180.0,top
U9,110.678,-97.394,90.0,top
VR1,52.4905,-155.76,90.0,top
VR2,71.2865,-155.76,90.0,top
VR3,90.3365,-155.76,90.0,top
VR4,109.3865,-155.76,90.0,top
VR5,128.1825,-155.76,90.0,top
